4.35, 13.5
18.5, 11.95
19.85, 11.1
22.7, 8.3
22, 7.8
17, 7.4
13.75, 9.9
14.45, 12.45
27.7, 10.2
33.45, 10.75
14.8, 9.95
13.35, 11.1
17.2, 10.25
25.2, 7.05
34.45, 9.05
33.5, 13.4
31.2, 14.7
26.65, 12.5
24.15, 9, 1
20.8, 7.25, 1
9.85, 7.55, 1
9.55, 9.25, 1
17.2, 4.5, 1
31.9, 4.15, 1
36.35, 14.25, 1
35.5, 18.9, 1
35.7, 15.45, 1
24.3, 11.8, 1
5.15, 8.85, 1
2.75, 13.9, 1
6.3, 15.45, 1
17.35, 13.25, 1
30.45, 13.3, 1
31.75, 15.3, 1
27.85, 16.25, 1
19.1, 14.45, 1
10.6, 12.05, 1
7.85, 2.55, 1
20.35, 4.2, 1
36.4, 7.85, 1
27.85, 3.35, 1
13.65, 2.35, 1
20.45, 1.6, 1
32.55, 4.25, 1
35.5, 6.5, 1
37.15, -0.1, 1
31.7, 1.3, 1
21.55, 2.35, 1
27.7, 5.3, 1
32.2, 2.65, 1
34.6, 3.9, 1
36.95, 7.2, 1
36, 13.95, 1
34.35, 15.15, 1
17.3, 9.4, 1
12.5, 9.55, 1
14.4, 16.9, 1
15.85, 17.45, 1
19.75, 16.15, 1
22.95, 13.95, 1
28.9, 10.45, 1
35.05, 10.45, 1
32.2, 7.75, 1
31.4, 9.1, 1
30.6, 10.25, 1
29, 8.2, 1
31, 6.7, 1
34.2, 8.05, 1
39.45, 14.45, 1
39.5, 16.25, 1
39.7, 12, 1
40.6, 6.9, 1
33.35, 5.1, 1
13.05, 5.5, 1
5.25, 6.75, 1
4.1, 7, 1
4.3, 2.85, 1
7.85, 6.3, 1
2.65, 4.5, 1
1.5, 4, 1
3.5, 1.05, 1
6.1, 4.95, 1
3, 9.2, 1
2.35, 13.9, 1
9.3, 15.25, 1
10.25, 12.8, 1
7.2, 10.85, 1
4.25, 13.05, 1
5.55, 15.45, 1
7.3, 14.5, 1
13.65, 14.6, 1
18.85, 16.6, 1
23.55, 17.15, 1
23.15, 15.5, 1
19.15, 12.15, 1
19.35, 9, 1
21.6, 10.6, 1
22.35, 11.75, 1
25.15, 10.5, 1
25.6, 9.9, 1
25.6, 9.7, 1
25.95, 9.4, 1
26.05, 9.3, 1
26.1, 9.3, 1
26.1, 9.2, 1
26.2, 9.15, 1
26.25, 9.05, 1
26.25, 9.05, 1
15.35, 8.7, 1
8.05, 9.85, 1
7.65, 11.85, 1
6.6, 13.6, 1
6.4, 13.65, 1
4.9, 13.35, 1
4.7, 12.8, 1
6, 13.15, 1
5.8, 13.4, 1
5.05, 13.1, 1
6.35, 12.8, 1
6.95, 12.9, 1
6.55, 8.85, 1
5.8, 9.6, 1
5.45, 11.65, 1
8.2, 9.75, 1
5.55, 8.85, 1
5.5, 9.9, 1
6.5, 9.9, 1
7.05, 6.85, 1
5.65, 6.65, 1
4.45, 9.45, 1
6.45, 5, 1
4.85, 2.45, 1
3.4, 9.5, 1
4.8, 4.9, 1
2.05, 1.8, 1
3.9, 6.35, 1
6.3, 3.25, 1
7.85, 3.6, 1
12.55, 6.65, 1
16.05, 1.95, 1
4.75, 4.55, 1
10.75, 6.8, 1
11.75, 2.5, 1
20.2, 4.15, 1
11.15, 4.5, 1
17.45, 5, 1
22.15, 2.2, 1
32.6, 3.25, 1
25.35, 10.45, 1
24.15, 4.9, 1
22.15, 4.85, 1
18.3, 9, 1
36.15, 7.15, 1
36.3, 7.2, 1
37.95, 2.75, 1
40.8, 5.8, 1
32.85, 12.95, 1
21.75, 6, 1
13.4, 6.05, 1
18.2, 10.65, 1
17.55, 5.65, 1
17, 5.95, 1
13.55, 9.6, 1
14.5, 9.15, 1
30.75, 4.2, 1
36.8, 6.1, 1
37.35, 8.75, 1
36.8, 12.55, 1
30.05, 3.2, 1
22.9, 5.45, 1
20.9, 6.9, 1
25.2, 11.2, 1
30.35, 13, 1
29.4, 13.7, 1
24.3, 13.6, 1
20.15, 14.7, 1
26.45, 13.25, 1
28.4, 11.5, 1
34.9, 9, 1
36.2, 9.65, 1
34.45, 13.1, 1
36.55, 9.2, 1
37.25, 9.75, 1
38.95, 10.45, 1
14.8, 3.5, 1
17.4, 3.55, 1
11.35, 4.65, 0
10.85, 3.2, 0
